0.505	75	0.868869
0.42	100	1.0088
0.47	88	0.957991
0.18	140	0.998796
0.365	105	0.999002
0.265	53	0.99999
0.215	69	1.00263
0.34	23	0.999965
0.545	9	0.811271
0.295	35	0.999885
0.2	40	0.999993
0.16	14	1
0.16	100	0.999996
0.475	104	0.994921
0.28	16	1.00032
0.235	5	1.00037
0.45	44	1.10935
0.09	85	1
0.34	8	0.729115
0.185	88	0.998812
0.74	135	1.2365
0.17	17	0.999937
0.25	92	0.997579
0.295	7	0.999783
0.785	47	1.41106
0.38	1	1.06011
0.315	67	1.00015
0.99	12	0.883605
0.19	125	1
0.4	15	1.016
0.18	54	0.999997
0.395	49	0.999716
0.315	98	0.997739
0.47	160	0.460916
1.59	27	0.706602
0.24	8	0.999868
0.28	72	0.999067
0.245	6	1.00113
0.215	32	0.992779
0.31	47	1.21351
0.28	14	1
0.405	41	0.982216
0.64	18	0.704295
0.24	11	0.999233
0.425	53	0.99944
0.675	205	0.999976
0.165	70	1
0.3	77	0.999257
0.68	105	0.998496
0.285	18	1.00002
0.3	54	1.00618
0.96	73	0.840679
0.405	6	1.01744
0.525	338	0.999786
0.155	82	0.650569
0.3	18	0.582192
0.305	157	1.26525
0.305	13	0.856256
0.1	2	0.999994
0.365	6	1.0004
0.58	20	0.464105
0.23	49	0.995358
0.315	173	1.20835
0.355	297	0.999805
0.215	95	1.01451
0.385	33	0.999545
0.185	44	0.997317
0.185	8	1.00047
0.175	104	1.00084
0.205	79	0.995729
0.62	35	1.00106
0.41	1	0.999818
0.255	76	1.00608
0.37	40	0.945305
0.155	25	1
0.46	109	0.99793
0.33	319	0.813817
0.185	149	0.999984
0.29	23	0.999848
0.165	96	1.00039
0.13	52	0.999994
0.185	20	0.999991
0.09	40	1
0.26	70	0.996437
0.435	49	0.665672
0.42	35	0.999488
0.49	35	0.941322
0.28	106	1
0.16	35	0.999995
0.415	79	1.25769
0.255	100	1.00002
0.415	150	1.63395
0.22	28	0.995642
0.695	88	0.999987
0.58	94	0.987527
0.43	50	1.10756
0.27	7	0.995118
0.755	35	0.999981
0.265	157	1.00872
0.56	167	0.999934
0.235	22	0.752908
0.58	34	0.9998
1.09	9	1.5915
0.725	35	1.02524
0.93	30	0.999681
0.66	44	0.830345
0.145	85	0.997984
0.315	83	1.00011
0.18	15	0.999988
0.585	4	0.671652
0.475	75	1.00494
0.32	4	1.09542
0.29	26	0.991125
0.195	26	0.999539
0.53	12	0.97457
0.325	87	1.00441
0.17	13	0.998685
0.71	47	0.999809
0.265	24	1.01888
0.515	34	0.687545
0.425	95	0.799407
0.36	225	0.8947
0.46	35	0.999872
0.32	43	0.998881
0.34	51	0.678056
0.175	30	0.999954
